/Users/chunhaozou/Desktop/drl/envs/cartpole_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Episode 1 finished with reward: {'pole_balance_reward': 209.7126003998848, 'cart_movement_reward': 9.213013339578644, 'pole_velocity_penalty': -3.1085428633078704, 'gpt_reward': 215.81707087615575, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 209.71779837603833, 'cart_movement_reward': 9.258126027313251, 'pole_velocity_penalty': -3.153766661301712, 'gpt_reward': 215.82215774204988, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 209.7688960949039, 'cart_movement_reward': 9.343338881923064, 'pole_velocity_penalty': -3.2557976254378445, 'gpt_reward': 215.856437351389, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 209.74969935959416, 'cart_movement_reward': 9.32328879848546, 'pole_velocity_penalty': -3.1611251944809586, 'gpt_reward': 215.91186296359956, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 209.7351369982045, 'cart_movement_reward': 9.273163589891453, 'pole_velocity_penalty': -3.116966400103138, 'gpt_reward': 215.89133418799364, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 209.77186480197517, 'cart_movement_reward': 9.288201152469655, 'pole_velocity_penalty': -3.164381447103804, 'gpt_reward': 215.8956845073419, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 209.7784873075073, 'cart_movement_reward': 9.358376444501266, 'pole_velocity_penalty': -3.2462742823490496, 'gpt_reward': 215.89058946965932, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 209.7744242982037, 'cart_movement_reward': 9.288201152469655, 'pole_velocity_penalty': -3.154008961769361, 'gpt_reward': 215.9086164889041, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 209.75742561229458, 'cart_movement_reward': 9.308251235907258, 'pole_velocity_penalty': -3.1816085760167314, 'gpt_reward': 215.88406827218498, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 209.7631027689104, 'cart_movement_reward': 9.338326361063663, 'pole_velocity_penalty': -3.1936449686954367, 'gpt_reward': 215.90778416127938, 'gt_reward': 2009.0, 'episode_length': 2000.0}
